parent_regions,parent_n,parent_mean_size,child_regions,child_n,child_mean_size,delta_size,regions_lost
"{AB, Atria, OFT, RV}",1,40.0,"{Atria, RV}",2,36.0,4.0,2
"{AB, Atria, OFT, RV}",1,40.0,"{OFT, RV}",10,19.9,20.1,2
"{AB, Atria, OFT}",1,23.0,"{AB, Atria}",3,20.666666666666668,2.333333333333332,1
"{AB, Atria, OFT}",1,23.0,{AB},5,5.4,17.6,2
"{AB, Atria, OFT}",1,23.0,"{Atria, OFT}",3,20.0,3.0,1
"{AB, Atria, OFT}",1,23.0,{Atria},15,13.0,10.0,2
"{AB, Atria, OFT}",1,23.0,{OFT},7,6.142857142857143,16.857142857142858,2
"{AB, Atria}",3,20.666666666666668,{AB},5,5.4,15.266666666666667,1
"{AB, Atria}",3,20.666666666666668,{Atria},15,13.0,7.666666666666668,1
"{AVC, Atria, LV, RV}",1,36.0,"{AVC, Atria, LV}",1,35.0,1.0,1
"{AVC, Atria, LV, RV}",1,36.0,"{AVC, RV}",1,17.0,19.0,2
"{AVC, Atria, LV, RV}",1,36.0,"{LV, RV}",3,29.0,7.0,2
"{AVC, Atria, LV}",1,35.0,{AVC},2,6.0,29.0,2
"{AVC, Atria, LV}",1,35.0,{Atria},15,13.0,22.0,2
"{AVC, Atria, LV}",1,35.0,{LV},13,11.153846153846153,23.846153846153847,2
"{AVC, Atria, OFT, RV}",1,36.0,"{AVC, RV}",1,17.0,19.0,2
"{AVC, Atria, OFT, RV}",1,36.0,"{Atria, OFT, RV}",1,32.0,4.0,1
"{AVC, Atria, OFT, RV}",1,36.0,"{Atria, OFT}",3,20.0,16.0,2
"{AVC, Atria, OFT, RV}",1,36.0,"{OFT, RV}",10,19.9,16.1,2
"{AVC, LV, RV}",2,41.5,"{AVC, RV}",1,17.0,24.5,1
"{AVC, LV, RV}",2,41.5,{AVC},2,6.0,35.5,2
"{AVC, LV, RV}",2,41.5,"{LV, RV}",3,29.0,12.5,1
"{AVC, LV, RV}",2,41.5,{LV},13,11.153846153846153,30.346153846153847,2
"{AVC, LV, RV}",2,41.5,{RV},4,5.0,36.5,2
"{AVC, LV}",1,42.0,{AVC},2,6.0,36.0,1
"{AVC, LV}",1,42.0,{LV},13,11.153846153846153,30.846153846153847,1
"{AVC, RV}",1,17.0,{AVC},2,6.0,11.0,1
"{AVC, RV}",1,17.0,{RV},4,5.0,12.0,1
"{Atria, LV, OFT, RV}",1,57.0,"{Atria, LV}",1,42.0,15.0,2
"{Atria, LV, OFT, RV}",1,57.0,"{Atria, OFT, RV}",1,32.0,25.0,1
"{Atria, LV, OFT, RV}",1,57.0,"{Atria, OFT}",3,20.0,37.0,2
"{Atria, LV, OFT, RV}",1,57.0,"{Atria, RV}",2,36.0,21.0,2
"{Atria, LV, OFT, RV}",1,57.0,"{LV, RV}",3,29.0,28.0,2
"{Atria, LV, OFT, RV}",1,57.0,"{OFT, RV}",10,19.9,37.1,2
"{Atria, LV}",1,42.0,{Atria},15,13.0,29.0,1
"{Atria, LV}",1,42.0,{LV},13,11.153846153846153,30.846153846153847,1
"{Atria, OFT, RV}",1,32.0,"{Atria, OFT}",3,20.0,12.0,1
"{Atria, OFT, RV}",1,32.0,{Atria},15,13.0,19.0,2
"{Atria, OFT, RV}",1,32.0,"{OFT, RV}",10,19.9,12.100000000000001,1
"{Atria, OFT, RV}",1,32.0,{OFT},7,6.142857142857143,25.857142857142858,2
"{Atria, OFT, RV}",1,32.0,{RV},4,5.0,27.0,2
"{Atria, OFT}",3,20.0,{Atria},15,13.0,7.0,1
"{Atria, OFT}",3,20.0,{OFT},7,6.142857142857143,13.857142857142858,1
"{Atria, RV}",2,36.0,{Atria},15,13.0,23.0,1
"{Atria, RV}",2,36.0,{RV},4,5.0,31.0,1
"{LV, RV}",3,29.0,{LV},13,11.153846153846153,17.846153846153847,1
