group,component_index,root_bits,root_regions,leaf_bits,leaf_regions,path_index,path_length,path_score,node_depth,node_bits,node_regions,node_n,node_mean_size,node_breadth
All,1,001100,"{LV, AVC}",001000,{LV},9,1,1.0,0,001100,"{LV, AVC}",1,42.0,2
All,1,001100,"{LV, AVC}",001000,{LV},9,1,1.0,1,001000,{LV},13,11.153846153846152,1
All,1,100110,"{OFT, AVC, AB}",000010,{AB},10,2,2.0,0,100110,"{OFT, AVC, AB}",1,22.0,3
All,1,100110,"{OFT, AVC, AB}",000010,{AB},10,2,2.0,1,000110,"{AVC, AB}",4,16.75,2
All,1,100110,"{OFT, AVC, AB}",000010,{AB},10,2,2.0,2,000010,{AB},5,5.4,1
All,1,100110,"{OFT, AVC, AB}",000010,{AB},12,1,1.0,0,100110,"{OFT, AVC, AB}",1,22.0,3
All,1,100110,"{OFT, AVC, AB}",000010,{AB},12,1,1.0,1,000010,{AB},5,5.4,1
All,1,100110,"{OFT, AVC, AB}",000100,{AVC},11,2,2.0,0,100110,"{OFT, AVC, AB}",1,22.0,3
All,1,100110,"{OFT, AVC, AB}",000100,{AVC},11,2,2.0,1,000110,"{AVC, AB}",4,16.75,2
All,1,100110,"{OFT, AVC, AB}",000100,{AVC},11,2,2.0,2,000100,{AVC},2,6.0,1
All,1,100110,"{OFT, AVC, AB}",000100,{AVC},13,1,1.0,0,100110,"{OFT, AVC, AB}",1,22.0,3
All,1,100110,"{OFT, AVC, AB}",000100,{AVC},13,1,1.0,1,000100,{AVC},2,6.0,1
All,1,100110,"{OFT, AVC, AB}",100000,{OFT},14,1,1.0,0,100110,"{OFT, AVC, AB}",1,22.0,3
All,1,100110,"{OFT, AVC, AB}",100000,{OFT},14,1,1.0,1,100000,{OFT},7,6.142857142857143,1
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},16,5,5.0,0,111111,"{OFT, RV, LV, AVC, AB, Atria}",2,112.0,6
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},16,5,5.0,1,011111,"{RV, LV, AVC, AB, Atria}",3,74.66666666666667,5
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},16,5,5.0,2,001111,"{LV, AVC, AB, Atria}",2,32.0,4
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},16,5,5.0,3,000111,"{AVC, AB, Atria}",2,24.5,3
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},16,5,5.0,4,000011,"{AB, Atria}",3,20.666666666666668,2
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},16,5,5.0,5,000010,{AB},5,5.4,1
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},17,5,5.0,0,111111,"{OFT, RV, LV, AVC, AB, Atria}",2,112.0,6
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},17,5,5.0,1,011111,"{RV, LV, AVC, AB, Atria}",3,74.66666666666667,5
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},17,5,5.0,2,001111,"{LV, AVC, AB, Atria}",2,32.0,4
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},17,5,5.0,3,000111,"{AVC, AB, Atria}",2,24.5,3
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},17,5,5.0,4,000110,"{AVC, AB}",4,16.75,2
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},17,5,5.0,5,000010,{AB},5,5.4,1
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},20,4,4.0,0,111111,"{OFT, RV, LV, AVC, AB, Atria}",2,112.0,6
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},20,4,4.0,1,001111,"{LV, AVC, AB, Atria}",2,32.0,4
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},20,4,4.0,2,000111,"{AVC, AB, Atria}",2,24.5,3
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},20,4,4.0,3,000011,"{AB, Atria}",3,20.666666666666668,2
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},20,4,4.0,4,000010,{AB},5,5.4,1
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},21,4,4.0,0,111111,"{OFT, RV, LV, AVC, AB, Atria}",2,112.0,6
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},21,4,4.0,1,001111,"{LV, AVC, AB, Atria}",2,32.0,4
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},21,4,4.0,2,000111,"{AVC, AB, Atria}",2,24.5,3
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},21,4,4.0,3,000110,"{AVC, AB}",4,16.75,2
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},21,4,4.0,4,000010,{AB},5,5.4,1
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},24,4,4.0,0,111111,"{OFT, RV, LV, AVC, AB, Atria}",2,112.0,6
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},24,4,4.0,1,011111,"{RV, LV, AVC, AB, Atria}",3,74.66666666666667,5
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},24,4,4.0,2,000111,"{AVC, AB, Atria}",2,24.5,3
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},24,4,4.0,3,000011,"{AB, Atria}",3,20.666666666666668,2
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},24,4,4.0,4,000010,{AB},5,5.4,1
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},25,4,4.0,0,111111,"{OFT, RV, LV, AVC, AB, Atria}",2,112.0,6
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},25,4,4.0,1,011111,"{RV, LV, AVC, AB, Atria}",3,74.66666666666667,5
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},25,4,4.0,2,000111,"{AVC, AB, Atria}",2,24.5,3
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},25,4,4.0,3,000110,"{AVC, AB}",4,16.75,2
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},25,4,4.0,4,000010,{AB},5,5.4,1
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},28,4,4.0,0,111111,"{OFT, RV, LV, AVC, AB, Atria}",2,112.0,6
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},28,4,4.0,1,011111,"{RV, LV, AVC, AB, Atria}",3,74.66666666666667,5
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},28,4,4.0,2,001111,"{LV, AVC, AB, Atria}",2,32.0,4
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},28,4,4.0,3,000011,"{AB, Atria}",3,20.666666666666668,2
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},28,4,4.0,4,000010,{AB},5,5.4,1
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},29,4,4.0,0,111111,"{OFT, RV, LV, AVC, AB, Atria}",2,112.0,6
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},29,4,4.0,1,011111,"{RV, LV, AVC, AB, Atria}",3,74.66666666666667,5
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},29,4,4.0,2,001111,"{LV, AVC, AB, Atria}",2,32.0,4
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},29,4,4.0,3,000110,"{AVC, AB}",4,16.75,2
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},29,4,4.0,4,000010,{AB},5,5.4,1
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},32,4,4.0,0,111111,"{OFT, RV, LV, AVC, AB, Atria}",2,112.0,6
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},32,4,4.0,1,011111,"{RV, LV, AVC, AB, Atria}",3,74.66666666666667,5
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},32,4,4.0,2,001111,"{LV, AVC, AB, Atria}",2,32.0,4
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},32,4,4.0,3,000111,"{AVC, AB, Atria}",2,24.5,3
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},32,4,4.0,4,000010,{AB},5,5.4,1
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},46,4,4.0,0,111111,"{OFT, RV, LV, AVC, AB, Atria}",2,112.0,6
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},46,4,4.0,1,110011,"{OFT, RV, AB, Atria}",1,40.0,4
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},46,4,4.0,2,100011,"{OFT, AB, Atria}",1,23.0,3
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},46,4,4.0,3,000011,"{AB, Atria}",3,20.666666666666668,2
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},46,4,4.0,4,000010,{AB},5,5.4,1
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},62,3,3.0,0,111111,"{OFT, RV, LV, AVC, AB, Atria}",2,112.0,6
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},62,3,3.0,1,001111,"{LV, AVC, AB, Atria}",2,32.0,4
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},62,3,3.0,2,000011,"{AB, Atria}",3,20.666666666666668,2
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},62,3,3.0,3,000010,{AB},5,5.4,1
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},63,3,3.0,0,111111,"{OFT, RV, LV, AVC, AB, Atria}",2,112.0,6
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},63,3,3.0,1,001111,"{LV, AVC, AB, Atria}",2,32.0,4
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},63,3,3.0,2,000110,"{AVC, AB}",4,16.75,2
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},63,3,3.0,3,000010,{AB},5,5.4,1
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},66,3,3.0,0,111111,"{OFT, RV, LV, AVC, AB, Atria}",2,112.0,6
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},66,3,3.0,1,001111,"{LV, AVC, AB, Atria}",2,32.0,4
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},66,3,3.0,2,000111,"{AVC, AB, Atria}",2,24.5,3
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},66,3,3.0,3,000010,{AB},5,5.4,1
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},76,3,3.0,0,111111,"{OFT, RV, LV, AVC, AB, Atria}",2,112.0,6
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},76,3,3.0,1,011111,"{RV, LV, AVC, AB, Atria}",3,74.66666666666667,5
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},76,3,3.0,2,000111,"{AVC, AB, Atria}",2,24.5,3
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},76,3,3.0,3,000010,{AB},5,5.4,1
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},85,3,3.0,0,111111,"{OFT, RV, LV, AVC, AB, Atria}",2,112.0,6
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},85,3,3.0,1,110011,"{OFT, RV, AB, Atria}",1,40.0,4
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},85,3,3.0,2,000011,"{AB, Atria}",3,20.666666666666668,2
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},85,3,3.0,3,000010,{AB},5,5.4,1
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},91,3,3.0,0,111111,"{OFT, RV, LV, AVC, AB, Atria}",2,112.0,6
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},91,3,3.0,1,110011,"{OFT, RV, AB, Atria}",1,40.0,4
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},91,3,3.0,2,100011,"{OFT, AB, Atria}",1,23.0,3
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000010,{AB},91,3,3.0,3,000010,{AB},5,5.4,1
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},18,5,5.0,0,111111,"{OFT, RV, LV, AVC, AB, Atria}",2,112.0,6
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},18,5,5.0,1,011111,"{RV, LV, AVC, AB, Atria}",3,74.66666666666667,5
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},18,5,5.0,2,001111,"{LV, AVC, AB, Atria}",2,32.0,4
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},18,5,5.0,3,000111,"{AVC, AB, Atria}",2,24.5,3
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},18,5,5.0,4,000110,"{AVC, AB}",4,16.75,2
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},18,5,5.0,5,000100,{AVC},2,6.0,1
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},22,4,4.0,0,111111,"{OFT, RV, LV, AVC, AB, Atria}",2,112.0,6
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},22,4,4.0,1,001111,"{LV, AVC, AB, Atria}",2,32.0,4
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},22,4,4.0,2,000111,"{AVC, AB, Atria}",2,24.5,3
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},22,4,4.0,3,000110,"{AVC, AB}",4,16.75,2
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},22,4,4.0,4,000100,{AVC},2,6.0,1
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},26,4,4.0,0,111111,"{OFT, RV, LV, AVC, AB, Atria}",2,112.0,6
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},26,4,4.0,1,011111,"{RV, LV, AVC, AB, Atria}",3,74.66666666666667,5
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},26,4,4.0,2,000111,"{AVC, AB, Atria}",2,24.5,3
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},26,4,4.0,3,000110,"{AVC, AB}",4,16.75,2
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},26,4,4.0,4,000100,{AVC},2,6.0,1
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},30,4,4.0,0,111111,"{OFT, RV, LV, AVC, AB, Atria}",2,112.0,6
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},30,4,4.0,1,011111,"{RV, LV, AVC, AB, Atria}",3,74.66666666666667,5
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},30,4,4.0,2,001111,"{LV, AVC, AB, Atria}",2,32.0,4
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},30,4,4.0,3,000110,"{AVC, AB}",4,16.75,2
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},30,4,4.0,4,000100,{AVC},2,6.0,1
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},33,4,4.0,0,111111,"{OFT, RV, LV, AVC, AB, Atria}",2,112.0,6
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},33,4,4.0,1,011111,"{RV, LV, AVC, AB, Atria}",3,74.66666666666667,5
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},33,4,4.0,2,001111,"{LV, AVC, AB, Atria}",2,32.0,4
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},33,4,4.0,3,000111,"{AVC, AB, Atria}",2,24.5,3
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},33,4,4.0,4,000100,{AVC},2,6.0,1
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},34,4,4.0,0,111111,"{OFT, RV, LV, AVC, AB, Atria}",2,112.0,6
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},34,4,4.0,1,011111,"{RV, LV, AVC, AB, Atria}",3,74.66666666666667,5
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},34,4,4.0,2,011100,"{RV, LV, AVC}",2,41.5,3
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},34,4,4.0,3,010100,"{RV, AVC}",1,17.0,2
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},34,4,4.0,4,000100,{AVC},2,6.0,1
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},39,4,4.0,0,111111,"{OFT, RV, LV, AVC, AB, Atria}",2,112.0,6
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},39,4,4.0,1,011111,"{RV, LV, AVC, AB, Atria}",3,74.66666666666667,5
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},39,4,4.0,2,011101,"{RV, LV, AVC, Atria}",1,36.0,4
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},39,4,4.0,3,001101,"{LV, AVC, Atria}",1,35.0,3
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},39,4,4.0,4,000100,{AVC},2,6.0,1
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},41,4,4.0,0,111111,"{OFT, RV, LV, AVC, AB, Atria}",2,112.0,6
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},41,4,4.0,1,011111,"{RV, LV, AVC, AB, Atria}",3,74.66666666666667,5
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},41,4,4.0,2,011101,"{RV, LV, AVC, Atria}",1,36.0,4
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},41,4,4.0,3,010100,"{RV, AVC}",1,17.0,2
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},41,4,4.0,4,000100,{AVC},2,6.0,1
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},64,3,3.0,0,111111,"{OFT, RV, LV, AVC, AB, Atria}",2,112.0,6
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},64,3,3.0,1,001111,"{LV, AVC, AB, Atria}",2,32.0,4
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},64,3,3.0,2,000110,"{AVC, AB}",4,16.75,2
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},64,3,3.0,3,000100,{AVC},2,6.0,1
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},67,3,3.0,0,111111,"{OFT, RV, LV, AVC, AB, Atria}",2,112.0,6
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},67,3,3.0,1,001111,"{LV, AVC, AB, Atria}",2,32.0,4
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},67,3,3.0,2,000111,"{AVC, AB, Atria}",2,24.5,3
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},67,3,3.0,3,000100,{AVC},2,6.0,1
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},69,3,3.0,0,111111,"{OFT, RV, LV, AVC, AB, Atria}",2,112.0,6
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},69,3,3.0,1,011101,"{RV, LV, AVC, Atria}",1,36.0,4
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},69,3,3.0,2,001101,"{LV, AVC, Atria}",1,35.0,3
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},69,3,3.0,3,000100,{AVC},2,6.0,1
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},71,3,3.0,0,111111,"{OFT, RV, LV, AVC, AB, Atria}",2,112.0,6
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},71,3,3.0,1,011101,"{RV, LV, AVC, Atria}",1,36.0,4
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},71,3,3.0,2,010100,"{RV, AVC}",1,17.0,2
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},71,3,3.0,3,000100,{AVC},2,6.0,1
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},77,3,3.0,0,111111,"{OFT, RV, LV, AVC, AB, Atria}",2,112.0,6
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},77,3,3.0,1,011111,"{RV, LV, AVC, AB, Atria}",3,74.66666666666667,5
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},77,3,3.0,2,000111,"{AVC, AB, Atria}",2,24.5,3
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},77,3,3.0,3,000100,{AVC},2,6.0,1
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},79,3,3.0,0,111111,"{OFT, RV, LV, AVC, AB, Atria}",2,112.0,6
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},79,3,3.0,1,011111,"{RV, LV, AVC, AB, Atria}",3,74.66666666666667,5
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},79,3,3.0,2,001101,"{LV, AVC, Atria}",1,35.0,3
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},79,3,3.0,3,000100,{AVC},2,6.0,1
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},81,3,3.0,0,111111,"{OFT, RV, LV, AVC, AB, Atria}",2,112.0,6
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},81,3,3.0,1,011111,"{RV, LV, AVC, AB, Atria}",3,74.66666666666667,5
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},81,3,3.0,2,011100,"{RV, LV, AVC}",2,41.5,3
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},81,3,3.0,3,000100,{AVC},2,6.0,1
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},98,3,3.0,0,111111,"{OFT, RV, LV, AVC, AB, Atria}",2,112.0,6
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},98,3,3.0,1,110101,"{OFT, RV, AVC, Atria}",1,36.0,4
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},98,3,3.0,2,010100,"{RV, AVC}",1,17.0,2
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000100,{AVC},98,3,3.0,3,000100,{AVC},2,6.0,1
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000001,{Atria},15,5,5.0,0,111111,"{OFT, RV, LV, AVC, AB, Atria}",2,112.0,6
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000001,{Atria},15,5,5.0,1,011111,"{RV, LV, AVC, AB, Atria}",3,74.66666666666667,5
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000001,{Atria},15,5,5.0,2,001111,"{LV, AVC, AB, Atria}",2,32.0,4
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000001,{Atria},15,5,5.0,3,000111,"{AVC, AB, Atria}",2,24.5,3
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000001,{Atria},15,5,5.0,4,000011,"{AB, Atria}",3,20.666666666666668,2
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000001,{Atria},15,5,5.0,5,000001,{Atria},15,13.0,1
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000001,{Atria},19,4,4.0,0,111111,"{OFT, RV, LV, AVC, AB, Atria}",2,112.0,6
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000001,{Atria},19,4,4.0,1,001111,"{LV, AVC, AB, Atria}",2,32.0,4
All,1,111111,"{OFT, RV, LV, AVC, AB, Atria}",000001,{Atria},19,4,4.0,2,000111,"{AVC, AB, Atria}",2,24.5,3
