cutoff,bin,region1,region2,pair,z,p_raw,p_FDR,sig
35,Small,OFT,AVC,OFT-AVC,-1.1026200345926342,0.27019220614736916,0.5251086375975333,False
35,Small,OFT,AB,OFT-AB,-0.9689359790641624,0.332577132697065,0.5251086375975333,False
35,Small,OFT,Atria,OFT-Atria,-0.6354903820179371,0.5251086375975333,0.5251086375975333,False
35,Small,RV,LV,RV-LV,-0.7671302099658266,0.4430041019262805,0.5251086375975333,False
35,Small,RV,AVC,RV-AVC,-0.8990444574349499,0.36862898090020035,0.5251086375975333,False
35,Small,RV,AB,RV-AB,-2.0954108146090817,0.036134488990727576,0.1355043337152284,False
35,Small,RV,Atria,RV-Atria,-1.4968593648482817,0.13442985549823283,0.3360746387455821,False
35,Small,LV,AVC,LV-AVC,0.7745953810426572,0.4385787875195013,0.5251086375975333,False
35,Small,LV,AB,LV-AB,-0.6641591578438001,0.5065884505849181,0.5251086375975333,False
35,Small,LV,Atria,LV-Atria,-0.8633530169800374,0.38794340295602936,0.5251086375975333,False
35,Small,AVC,AB,AVC-AB,5.128316331122286,2.923449211600371e-07,4.385173817400556e-06,True
35,Small,AVC,Atria,AVC-Atria,0.7340594341611737,0.46291251567306113,0.5251086375975333,False
35,Small,AB,Atria,AB-Atria,1.851357527139478,0.06411813509301623,0.19235440527904868,False
35,Large,OFT,RV,OFT-RV,0.67403605244566,0.500288393146423,0.6918662497712615,False
35,Large,OFT,LV,OFT-LV,-2.3296043401944853,0.019827072556130032,0.2974060883419505,False
35,Large,OFT,AVC,OFT-AVC,-1.6796473565862515,0.09302594795739005,0.46512973978695027,False
35,Large,OFT,AB,OFT-AB,-0.7622042443445121,0.4459381133227427,0.6918662497712615,False
35,Large,OFT,Atria,OFT-Atria,0.3805291861063782,0.7035526357109108,0.8117915027433585,False
35,Large,RV,LV,RV-LV,0.6988640318978252,0.48463700744229876,0.6918662497712615,False
35,Large,RV,AVC,RV-AVC,0.9290217471359276,0.3528778161532864,0.6918662497712615,False
35,Large,RV,AB,RV-AB,-0.1103934596057633,0.9120973399062482,0.9120973399062482,False
35,Large,RV,Atria,RV-Atria,-0.6629406229659351,0.5073685831655919,0.6918662497712615,False
35,Large,LV,AVC,LV-AVC,1.3358433073198088,0.18160049441450177,0.6810018540543816,False
35,Large,LV,AB,LV-AB,0.2169550653457305,0.828243363503606,0.8874036037538635,False
35,Large,LV,Atria,LV-Atria,-0.9597540963277842,0.337178990076636,0.6918662497712615,False
35,Large,AVC,AB,AVC-AB,0.8523905800483231,0.3939973467012403,0.6918662497712615,False
35,Large,AVC,Atria,AVC-Atria,-0.5486990442181331,0.5832120022183047,0.7290150027728809,False
35,Large,AB,Atria,AB-Atria,1.7537391775816624,0.07947520918748063,0.46512973978695027,False
40,Small,OFT,RV,OFT-RV,3.9701137778125597,7.183831841706123e-05,0.0005387873881279592,True
40,Small,OFT,LV,OFT-LV,-2.9454677020978917,0.003224668122593144,0.01612334061296572,True
40,Small,OFT,AVC,OFT-AVC,-1.2391523313802162,0.2152890900064195,0.4114913135283668,False
40,Small,OFT,AB,OFT-AB,-1.0380697122044047,0.29923760101612595,0.44885640152418893,False
40,Small,OFT,Atria,OFT-Atria,-0.2058777931577816,0.8368863723512479,0.8368863723512479,False
40,Small,RV,LV,RV-LV,-0.7807020337133724,0.4349777642168231,0.5437222052710289,False
40,Small,RV,AVC,RV-AVC,-0.25264344114551796,0.8005437575338166,0.8368863723512479,False
40,Small,RV,AB,RV-AB,-2.0246570761377756,0.042902589078493536,0.16088470904435076,False
40,Small,RV,Atria,RV-Atria,-0.8485861213115451,0.3961116323354843,0.540152225912024,False
40,Small,LV,AVC,LV-AVC,0.6327057130373114,0.5269258383983675,0.6079913519981163,False
40,Small,LV,AB,LV-AB,-1.227959867243222,0.21946203388179564,0.4114913135283668,False
40,Small,LV,Atria,LV-Atria,-1.1162645985639958,0.26430889037578753,0.44051481729297925,False
40,Small,AVC,AB,AVC-AB,4.1993328073549945,2.677026109232372e-05,0.0004015539163848558,True
40,Small,AVC,Atria,AVC-Atria,1.4065070178745387,0.15957362215790294,0.39893405539475735,False
40,Small,AB,Atria,AB-Atria,1.7205692494052833,0.08532901751071975,0.25598705253215925,False
40,Large,OFT,RV,OFT-RV,0.8045066705938198,0.4211044184525181,0.6182545151636115,False
40,Large,OFT,LV,OFT-LV,-1.2678411310038722,0.204854690443663,0.6182545151636115,False
40,Large,OFT,AVC,OFT-AVC,-1.7758532189762721,0.07575711327890122,0.6182545151636115,False
40,Large,OFT,AB,OFT-AB,-1.1226649337087764,0.26157982621117215,0.6182545151636115,False
40,Large,OFT,Atria,OFT-Atria,-0.7188270871217556,0.47224746582801025,0.6182545151636115,False
40,Large,RV,LV,RV-LV,0.1684040360682647,0.8662654331282817,0.8915631403574109,False
40,Large,RV,AVC,RV-AVC,0.8062495221391999,0.42009898951410896,0.6182545151636115,False
40,Large,RV,AB,RV-AB,-0.1363265444241707,0.8915631403574109,0.8915631403574109,False
40,Large,RV,Atria,RV-Atria,-0.684309126339635,0.49377998525651723,0.6182545151636115,False
40,Large,LV,AVC,LV-AVC,1.7014909329662193,0.0888508389827638,0.6182545151636115,False
40,Large,LV,AB,LV-AB,1.058233533004613,0.28994898696086424,0.6182545151636115,False
40,Large,LV,Atria,LV-Atria,-0.1809536154731718,0.8564039843689792,0.8915631403574109,False
40,Large,AVC,AB,AVC-AB,0.6830051122807742,0.4946036121308892,0.6182545151636115,False
40,Large,AVC,Atria,AVC-Atria,-1.2261576319062786,0.22013936154965585,0.6182545151636115,False
40,Large,AB,Atria,AB-Atria,1.4811072663165572,0.13857799188308806,0.6182545151636115,False
